
==================================================
ROZPOCZYNAM EKSPERYMENT 1: ARCHITEKTURA
==================================================

[Eksperyment 1] Parametry: {'batch_size': 64, 'lr': 0.001, 'dropout_rate': 0.2, 'kernel_size': 3, 'num_filters': 8}

--- Start Treningu | Batch 64 LR 0.001 Kernel 3 Filters 8 Dropout 0.2 ---
Epoka [24/50]   |  Train Acc: 70.06%  |  Val Acc: 83.33%  |  LR: 0.000532
!!!     [Brak poprawy: 1/20]    !!!
Epoka [25/50]   |  Train Acc: 72.06%  |  Val Acc: 80.37%  |  LR: 0.000500
!!!     [Brak poprawy: 2/20]    !!!
Epoka [26/50]   |  Train Acc: 73.37%  |  Val Acc: 81.28%  |  LR: 0.000469
!!!     [Brak poprawy: 3/20]    !!!
Epoka [27/50]   |  Train Acc: 73.09%  |  Val Acc: 79.91%  |  LR: 0.000438
!!!     [Brak poprawy: 4/20]    !!!
Epoka [28/50]   |  Train Acc: 72.46%  |  Val Acc: 77.63%  |  LR: 0.000407
!!!     [Brak poprawy: 5/20]    !!!
Epoka [29/50]   |  Train Acc: 74.46%  |  Val Acc: 82.42%  |  LR: 0.000376
!!!     [Brak poprawy: 6/20]    !!!
Epoka [30/50]   |  Train Acc: 75.89%  |  Val Acc: 87.21%  |  LR: 0.000346
!!!     [Brak poprawy: 7/20]    !!!
Epoka [31/50]   |  Train Acc: 75.94%  |  Val Acc: 82.42%  |  LR: 0.000317
!!!     [Brak poprawy: 8/20]    !!!
Epoka [32/50]   |  Train Acc: 74.51%  |  Val Acc: 84.47%  |  LR: 0.000288
!!!     [Brak poprawy: 9/20]    !!!
Epoka [33/50]   |  Train Acc: 75.83%  |  Val Acc: 87.90%  |  LR: 0.000260
!!!     [Brak poprawy: 10/20]   !!!
Epoka [34/50]   |  Train Acc: 76.63%  |  Val Acc: 81.05%  |  LR: 0.000233
!!!     [Brak poprawy: 11/20]   !!!
Epoka [35/50]   |  Train Acc: 77.49%  |  Val Acc: 89.95%  |  LR: 0.000207
!!!     [Brak poprawy: 12/20]   !!!
Epoka [36/50]   |  Train Acc: 77.20%  |  Val Acc: 83.11%  |  LR: 0.000182
!!!     [Brak poprawy: 13/20]   !!!
Epoka [37/50]   |  Train Acc: 76.51%  |  Val Acc: 85.16%  |  LR: 0.000159
!!!     [Brak poprawy: 14/20]   !!!
Epoka [38/50]   |  Train Acc: 77.03%  |  Val Acc: 89.04%  |  LR: 0.000136
!!!     [Brak poprawy: 15/20]   !!!
Epoka [39/50]   |  Train Acc: 77.03%  |  Val Acc: 87.21%  |  LR: 0.000116
!!!     [Brak poprawy: 16/20]   !!!
Epoka [40/50]   |  Train Acc: 78.29%  |  Val Acc: 86.07%  |  LR: 0.000096
!!!     [Brak poprawy: 17/20]   !!!
Epoka [41/50]   |  Train Acc: 77.09%  |  Val Acc: 84.93%  |  LR: 0.000079
!!!     [Brak poprawy: 18/20]   !!!
Epoka [42/50]   |  Train Acc: 78.86%  |  Val Acc: 85.84%  |  LR: 0.000063
!!!     [Brak poprawy: 19/20]   !!!
Epoka [43/50]   |  Train Acc: 77.14%  |  Val Acc: 86.76%  |  LR: 0.000049
!!!     [Brak poprawy: 20/20]   !!!
!!! Early Stopping: Model przestał się poprawiać po 43 epokach. !!!
-> Wynik (Val): 86.76% | (Train): 77.14%

[Eksperyment 1] Parametry: {'batch_size': 64, 'lr': 0.001, 'dropout_rate': 0.2, 'kernel_size': 3, 'num_filters': 32}

--- Start Treningu | Batch 64 LR 0.001 Kernel 3 Filters 32 Dropout 0.2 ---
Epoka [1/50]    |  Train Acc: 34.06%  |  Val Acc: 39.73%  |  LR: 0.000999
Epoka [2/50]    |  Train Acc: 37.03%  |  Val Acc: 48.40%  |  LR: 0.000996
Epoka [3/50]    |  Train Acc: 41.89%  |  Val Acc: 42.24%  |  LR: 0.000991
!!!     [Brak poprawy: 1/20]    !!!
Epoka [4/50]    |  Train Acc: 41.66%  |  Val Acc: 64.84%  |  LR: 0.000984
Epoka [5/50]    |  Train Acc: 43.71%  |  Val Acc: 58.22%  |  LR: 0.000976
!!!     [Brak poprawy: 1/20]    !!!
